Title,Author,Description,Domain,URL,Recipe Prefix,Tags,Category
BareFootContessa.com - Recipes,Ina Garten,Ina Garten's website,www.barefootcontessa.com,https://barefootcontessa.com/recipes,barefootcontessa.com/recipes,,celebrity chefs
GordonRamsay.com - Recipes,Gordon Ramsay,"Gordon Ramsay is a British chef, restaurateur, television presenter, and writer. His restaurant group, Gordon Ramsay Restaurants, was founded in 1997 and has been awarded 17 Michelin stars overall. His signature restaurant, Restaurant Gordon Ramsay in Chelsea, London, which he founded, has held three Michelin stars since 2001.",www.gordonramsay.com,https://www.gordonramsay.com/gr/recipes/,gordonramsay.com/gr/recipes/,,celebrity chefs
The Love Chef – Recipes,The Love Chef,"Francis Anthony, The Love Chef, has shared his cooking expertise and enthusiasm for over 30 years as the in-house chef for Live! With Regis and Kathy Lee and Live! With Regis and Kelly. He is often featured in Gourmet and Food and Wine magazines.",www.thelovechef.com,https://www.thelovechef.com,thelovechef.com/recipes/,,celebrity chefs
Recipes – Real Baking with Rose,Rose Levy Beranbaum,Rose is a contributing editor to Brian Hoffman’s Bake from Scratch magazine.,www.realbakingwithrose.com,https://www.realbakingwithrose.com/recipes,realbakingwithrose.com/month/,,celebrity chefs
Home | Alton Brown,Alton Brown,"Alton Brown is an American television personality, food show presenter, author, voice actor, and cinematographer. He is the creator and host of the Food Network television show Good Eats that ran for 16 seasons",altonbrown.com,https://altonbrown.com,altonbrown.com/recipes,,celebrity chefs
