Title,Author,Description,Category,Domain,Start URL,Recipe Prefix,Avoid URLs,
Recipes | Pampered Chef,Pampered Chef,"Pampered Chef is a multinational multi-level marketing company that offers a line of kitchen tools, food products, and cookbooks for preparing food in the home.",business – cookware,www.pamperedchef.com,https://www.pamperedchef.com/recipe-landing-page,pamperedchef.com/recipe,,
TheCocktailDB.com - Free Cocktail API,TheCocktailDB,"An open, crowd-sourced database of drinks and cocktails from around the world.",directories,www.thecocktaildb.com,https://www.thecocktaildb.com,thecocktaildb.com/drink/,,
TheMealDB.com - Free recipe API and database,TheMealDB,"An open, crowd-sourced database of recipes from around the world.",directories,www.themealdb.com,https://www.themealdb.com,themealdb.com/meal/,,
BlackCow.co.uk - Recipes from the Distillery,Black Cow,"Black Cow is the world's first Pure Milk Vodka. Made in West Dorset with what's left over from grass grazed cows milk after making cheese! Using milk as its only source ingredient is what makes the vodka so smooth. Sip neat, or mix in a long drink or cocktail.",food brands,www.blackcow.co.uk,https://www.blackcow.co.uk/blogs/recipes,blackcow.co.uk/blogs/recipes,,
CedarsFoods.com - Our Kitchen,"Cedar's Mediterranean Foods, Inc.","Healthy hommus, delicious dips, tantalizing tzatziki and more! Learn more about the best Mediterranean foods and snacks at Cedar's.",food brands,www.cedarsfoods.com,https://www.cedarsfoods.com/Our-Kitchen.aspx,cedarsfoods.com/Our-Kitchen/Recipes/,,
LandOLakes.com - Our Recipes,Land O'Lakes Inc.,"Land O'Lakes is an American member-owned agricultural cooperative based in Minnesota, United States, focusing on the dairy industry.",food brands,www.landolakes.com,https://www.landolakes.com/recipes/,landolakes.com/recipe,,
KingArthurBaking.com - Recipes,"King Arthur Baking Company, Inc.","King Arthur Baking is employee-owned supplier of flour, ingredients, baking mixes, cookbooks, and baked goods. It also runs two baking schools. It is the oldest flour company in the United States.",food brands,www.kingarthurbaking.com,https://www.kingarthurbaking.com/recipes,kingarthurbaking.com/recipes,,
OceanSpray.com - All Recipes,"Ocean Spray Cranberries, Inc.","Ocean Spray Cranberries, Inc. is an American agricultural cooperative of cranberry growers. The cooperative has made a number of innovations, including the first juice blend, the first juice boxes, and sweetened dried cranberries (Craisins). Its cranberry juice won the ChefsBest Award for best taste. The cooperative employs about 2,000 people, with sales of $1.2 billion in fiscal year 2013 and accounts for 70% of North American cranberry production.",food brands,www.oceanspray.com,https://www.oceanspray.com/recipes/mixed-berry-smoothie,oceanspray.com/recipes,,
KerryGoldUSA - Recipes,KerryGold USA,"Irish-Inspired Recipes for Baking, Desserts &amp; Mains",food brands,www.kerrygoldusa.com,https://www.kerrygoldusa.com/recipes/,kerrygoldusa.com/recipes/,,
Tostitos.com - Recipes,Frito-Lay North America,"Tostitos is a brand of tortilla chips and accompanying dips, salsas and queso. Frito-Lay first introduced the brand in 1977. The term tostito is a contraction of Spanish tostadito (little toasted thing), which is a diminutive of tostado (toasted thing). This chip takes inspiration from a traditional Mexican snack known as totopo.",food brands,www.tostitos.com,https://www.tostitos.com/recipes,tostitos.com/recipes,,
FilippoBerio.com - Our Recipes,Filippo Berio,"Filippo Berio is a brand of olive oils exported from Italy and made of oil from Italy, Greece, Spain and Tunisia. The brand is also has wine vinegar, balsamic vinegar, pesto and olives. A merchant named Filippo Berio first sold oil under his name in Italy in 1850.",food brands,filippoberio.com,https://filippoberio.com/recipes/,filippoberio.com/recipes/,,
Goya Recipes,Goya Foods,Goya Foods is an American producer and distributor of foods and beverages sold in the United States and many Spanish-speaking countries.,food brands,www.goya.com,https://www.goya.com/en/recipes/,goya.com/en/recipes/,,
Herr's Recipes,Herr Foods,"Herr's is an American brand of potato chips and other snack foods produced and marketed by Herr Foods Inc. based in Nottingham, Pennsylvania. Their products are sold in all 50 American states and in over 40 countries.",food brands,www.herrs.com,https://www.herrs.com/recipes/,herrs.com/recipes/,,
Coffee Liqueur Cocktails | Tasty drinks with Kahlua,KAHLUA,"KahlUa is a brand of coffee liqueur owned by the Pernod Ricard company and produced in Veracruz, Mexico. The drink contains rum, sugar, and arabica coffee.",food brands,www.kahlua.com,https://www.kahlua.com/en-us/drinks/,kahlua.com/en-us/drinks/,,
